"name";"score"
"org.joda.time.convert.AbstractConverter.isReadableInterval(Ljava/lang/Object;Lorg/joda/time/Chronology;)Z";0
"org.joda.time.TimeOfDay$Property.getTimeOfDay()Lorg/joda/time/TimeOfDay;";0
"org.joda.time.MutableDateTime.setMillis(J)V";0
"org.joda.time.MutableInterval.<init>(Lorg/joda/time/ReadableDuration;Lorg/joda/time/ReadableInstant;)V";0
"org.joda.time.chrono.JulianChronology.getDateMidnightMillis(III)J";0
"org.joda.time.LocalDate.toInterval()Lorg/joda/time/Interval;";0
"org.joda.time.Partial.getFieldTypes()[Lorg/joda/time/DateTimeFieldType;";0
"org.joda.time.Duration.standardSeconds(J)Lorg/joda/time/Duration;";0
"org.joda.time.LocalTime.withMillisOfSecond(I)Lorg/joda/time/LocalTime;";0
"org.joda.time.chrono.AssembledChronology.minutes()Lorg/joda/time/DurationField;";0
"org.joda.time.format.ISODateTimeFormat.timeElementParser()Lorg/joda/time/format/DateTimeFormatter;";0
"org.joda.time.field.BaseDateTimeField.set(Lorg/joda/time/ReadablePartial;I[II)[I";0
"org.joda.time.field.BaseDateTimeField.isSupported()Z";0
"org.joda.time.TimeOfDay.getSecondOfMinute()I";0
"org.joda.time.PeriodType.withFieldRemoved(ILjava/lang/String;)Lorg/joda/time/PeriodType;";0
"org.joda.time.Weeks.getWeeks()I";0
"org.joda.time.DateTimeFieldType.hourOfDay()Lorg/joda/time/DateTimeFieldType;";0
"org.joda.time.format.PeriodFormatterBuilder.appendYears()Lorg/joda/time/format/PeriodFormatterBuilder;";0
"org.joda.time.field.DecoratedDurationField.isPrecise()Z";0
"org.joda.time.DateTime.withMinuteOfHour(I)Lorg/joda/time/DateTime;";0
"org.joda.time.chrono.CopticChronology.getApproxMillisAtEpochDividedByTwo()J";0
"org.joda.time.LocalDateTime.getSecondOfMinute()I";0
"org.joda.time.MonthDay$Property.get()I";0
"org.joda.time.chrono.LimitChronology$LimitDateTimeField.getLeapDurationField()Lorg/joda/time/DurationField;";0
"org.joda.time.chrono.CopticChronology.withZone(Lorg/joda/time/DateTimeZone;)Lorg/joda/time/Chronology;";0
"org.joda.time.TimeOfDay.getFieldType(I)Lorg/joda/time/DateTimeFieldType;";0
"org.joda.time.Years.readResolve()Ljava/lang/Object;";0
"org.joda.time.format.DateTimeFormatterBuilder$UnpaddedNumber.printTo(Ljava/lang/StringBuffer;Lorg/joda/time/ReadablePartial;Ljava/util/Locale;)V";0
"org.joda.time.field.MillisDurationField.getType()Lorg/joda/time/DurationFieldType;";0
"org.joda.time.DateTimeFieldType.secondOfMinute()Lorg/joda/time/DateTimeFieldType;";0
"org.joda.time.MutableDateTime.addWeekyears(I)V";0
"org.joda.time.format.ISODateTimeFormat.dayOfYearElement()Lorg/joda/time/format/DateTimeFormatter;";0
"org.joda.time.format.PeriodFormatter.parseInto(Lorg/joda/time/ReadWritablePeriod;Ljava/lang/String;I)I";0
"org.joda.time.chrono.EthiopicChronology.getMinYear()I";0
"org.joda.time.YearMonth.<init>(JLorg/joda/time/Chronology;)V";0
"org.joda.time.DateMidnight.withDayOfWeek(I)Lorg/joda/time/DateMidnight;";0
"org.joda.time.chrono.ISOChronology.equals(Ljava/lang/Object;)Z";0
"org.joda.time.format.DateTimeFormatterBuilder$CharacterLiteral.estimatePrintedLength()I";0
"org.joda.time.chrono.BasicChronology.getYearInfo(I)Lorg/joda/time/chrono/BasicChronology$YearInfo;";0
"org.joda.time.YearMonth.toString()Ljava/lang/String;";0
"org.joda.time.chrono.GJLocaleSymbols.getEraMaxTextLength()I";0
"org.joda.time.convert.AbstractConverter.getChronology(Ljava/lang/Object;Lorg/joda/time/Chronology;)Lorg/joda/time/Chronology;";0
"org.joda.time.MutablePeriod.setPeriod(JJLorg/joda/time/Chronology;)V";0
"org.joda.time.chrono.GJLocaleSymbols.realignMonths([Ljava/lang/String;)[Ljava/lang/String;";0
"org.joda.time.LocalTime$Property.setCopy(Ljava/lang/String;)Lorg/joda/time/LocalTime;";0
"org.joda.time.field.AbstractPartialFieldProperty.getDurationField()Lorg/joda/time/DurationField;";0
"org.joda.time.MutablePeriod.add(J)V";0
"org.joda.time.Period.negated()Lorg/joda/time/Period;";0
"org.joda.time.LocalDate.withDayOfMonth(I)Lorg/joda/time/LocalDate;";0
"org.joda.time.DateTime$Property.addWrapFieldToCopy(I)Lorg/joda/time/DateTime;";0
"org.joda.time.chrono.GJChronology.convertByYear(JLorg/joda/time/Chronology;Lorg/joda/time/Chronology;)J";0
"org.joda.time.base.BaseDuration.toPeriod(Lorg/joda/time/PeriodType;)Lorg/joda/time/Period;";0
"org.joda.time.base.AbstractDuration.toString()Ljava/lang/String;";0
"org.joda.time.chrono.GregorianChronology.getAverageMillisPerYearDividedByTwo()J";0
"org.joda.time.Period.plusMinutes(I)Lorg/joda/time/Period;";0
"org.joda.time.DateTime.toDateMidnight()Lorg/joda/time/DateMidnight;";0
"org.joda.time.MutableDateTime$Property.getMillis()J";0
